Proteins	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	"Genes of polypeptide, complex, or RNA"	Pathways of enzyme	UniProt-via-RefSeq	NCBI-Protein	Data-Source	Pfam
NAD(P)H-quinone oxidoreductase subunit I	"photosynthesis, light reaction"	thylakoid membrane // membrane // thylakoid	"4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // quinone binding // metal ion binding // oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor // oxidoreductase activity, acting on NAD(P)H // NADH dehydrogenase (ubiquinone) activity // iron ion binding"	ndhI		WP_011862204.1	WP_011862204.1		PF13237
high light inducible protein		integral component of membrane // membrane		P9301_RS16575		WP_011863505.1	WP_011863505.1		
50S ribosomal protein L17	translation	ribosome	structural constituent of ribosome	rplQ		WP_011863642.1	WP_011863642.1		PF01196
SDR family NAD(P)-dependent oxidoreductase				P9301_RS11195		WP_011862436.1	WP_011862436.1		PF00106
UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	cell wall organization // cell division // lipid glycosylation // peptidoglycan biosynthetic process // regulation of cell shape // cell cycle // carbohydrate metabolic process	membrane // plasma membrane	"UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity // undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity // transferase activity, transferring hexosyl groups // transferase activity, transferring glycosyl groups // transferase activity"	murG	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	WP_011862242.1	WP_011862242.1		PF03033
adenylosuccinate lyase	'de novo' AMP biosynthetic process // purine ribonucleotide biosynthetic process // 'de novo' IMP biosynthetic process // purine nucleotide biosynthetic process		"(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity // lyase activity // N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity // catalytic activity"	purB	inosine-5'-phosphate biosynthesis I // inosine-5'-phosphate biosynthesis II // superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I // superpathway of purine nucleotides <i>de novo</i> biosynthesis I // adenosine ribonucleotides <i>de novo</i> biosynthesis	WP_011863575.1	WP_011863575.1		PF00206
GNAT family N-acetyltransferase			transferase activity // N-acetyltransferase activity	P9301_RS17795		WP_011863739.1	WP_011863739.1		PF00583
N-acetyl sugar amidotransferase				P9301_RS15865		WP_011863363.1	WP_011863363.1		
hypothetical protein				P9301_RS13190		WP_011862826.1	WP_011862826.1		
Possible EF-1 guanine nucleotide exchange doma				P9301_RS15395		WP_011863275.1	WP_011863275.1		
peptidoglycan editing factor PgeF				pgeF		WP_144038814.1	WP_144038814.1		PF02578
NAD(P)H-dependent oxidoreductase			oxidoreductase activity	P9301_RS09320		WP_011862072.1	WP_011862072.1		PF03358
Possible Alpha-2-macroglobulin family N-termin				P9301_RS12910		WP_041484756.1	WP_041484756.1		
TVP38/TMEM64 family membrane protein		integral component of membrane // membrane // plasma membrane		P9301_RS10720		WP_011862345.1	WP_011862345.1		
hypothetical protein				P9301_RS12730		WP_011862733.1	WP_011862733.1		
hypothetical protein		integral component of membrane // membrane		P9301_RS14910		WP_011863171.1	WP_011863171.1		
chlorophyll a/b binding light-harvesting protein	"photosynthesis, light reaction // photosynthetic electron transport chain"	integral component of membrane // membrane // photosystem	chlorophyll binding	P9301_RS15555		WP_011863305.1	WP_011863305.1		PF00421
M3 family metallopeptidase	proteolysis		metal ion binding // hydrolase activity // metallopeptidase activity // peptidase activity // metalloendopeptidase activity	P9301_RS12120		WP_011862609.1	WP_011862609.1		PF01432
helix-turn-helix domain-containing protein		integral component of membrane // membrane	DNA binding	P9301_RS11430		WP_011862481.1	WP_011862481.1		PF13413
fatty acid desaturase	lipid metabolic process	integral component of membrane // membrane	delta12-fatty acid dehydrogenase activity // oxidoreductase activity	P9301_RS16555		WP_011863498.1	WP_011863498.1		PF00487
transglutaminase family protein				P9301_RS14530		WP_011863100.1	WP_011863100.1		PF08379
high light inducible protein		integral component of membrane // membrane		P9301_RS16580		WP_011863507.1	WP_011863507.1		
DUF3146 family protein				P9301_RS10420		WP_011862293.1	WP_011862293.1		PF11344
ChlN	"light-independent chlorophyll biosynthetic process // photosynthesis, dark reaction // chlorophyll biosynthetic process // photosynthesis"		"4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding // oxidoreductase activity, acting on iron-sulfur proteins as donors // oxidoreductase activity, acting on the CH-CH group of donors, iron-sulfur protein as acceptor // oxidoreductase activity // ATP binding // nucleotide binding"	chlN		WP_011862564.1	WP_011862564.1		PF00148
ABC transporter ATP-binding protein	transmembrane transport	integral component of membrane // membrane	ATPase-coupled transmembrane transporter activity // ATPase // ATP binding // nucleotide binding	P9301_RS13420		WP_011862876.1	WP_011862876.1		PF00664
glutamate 5-kinase	L-proline biosynthetic process // phosphorylation // cellular amino acid biosynthetic process // proline biosynthetic process	cytoplasm	transferase activity // kinase activity // ATP binding // glutamate 5-kinase activity // RNA binding // nucleotide binding	proB	L-proline biosynthesis I (from L-glutamate)	WP_011862823.1	WP_011862823.1		PF00696
DNA-directed RNA polymerase subunit alpha	"transcription, DNA-templated"		protein dimerization activity // nucleotidyltransferase activity // transferase activity // DNA-directed 5'-3' RNA polymerase activity // DNA binding	rpoA		WP_011863643.1	WP_011863643.1		PF01193
sulfotransferase family protein	peptidyl-tyrosine sulfation		protein-tyrosine sulfotransferase activity	P9301_RS09300		WP_041484648.1	WP_041484648.1		PF13432
iron-sulfur cluster assembly accessory protein	protein maturation by iron-sulfur cluster transfer		iron-sulfur cluster binding // structural molecule activity	P9301_RS09730		WP_011862159.1	WP_011862159.1		PF01521
signal peptidase I	proteolysis	integral component of membrane // membrane	hydrolase activity // serine-type peptidase activity // peptidase activity	lepB		WP_011862622.1	WP_011862622.1		PF00717
class II fumarate hydratase	fumarate metabolic process // tricarboxylic acid cycle	tricarboxylic acid cycle enzyme complex // cytoplasm	lyase activity // fumarate hydratase activity // catalytic activity	P9301_RS16895	partial TCA cycle (obligate autotrophs)	WP_011863576.1	WP_011863576.1		PF00206
Anthranilate/para-aminobenzoate synthase component I				trpE	superpathway of L-tryptophan biosynthesis // L-tryptophan biosynthesis	WP_011863788.1	WP_011863788.1		PF00425
S9 family peptidase	proteolysis		serine-type peptidase activity	P9301_RS09485		WP_011862108.1	WP_011862108.1		PF00326
Photosystem I reaction center subunit II PsaD	photosynthesis	photosystem I reaction center // photosystem I		psaD		WP_011863680.1	WP_011863680.1		PF02531
bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase	nicotinamide nucleotide metabolic process // phosphorylation		NADPHX epimerase activity // NADHX epimerase activity // ADP-dependent NAD(P)H-hydrate dehydratase activity // metal ion binding // isomerase activity // lyase activity // kinase activity // ATP binding // nucleotide binding	P9301_RS16085	NADH repair	WP_011863405.1	WP_011863405.1		PF03853
tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	tRNA processing // tRNA wobble uridine modification	cytoplasm	flavin adenine dinucleotide binding	mnmG	tRNA-uridine 2-thiolation and selenation (bacteria)	WP_011863770.1	WP_011863770.1		PF01134
P-type cation transporter				zntA		WP_011862176.1	WP_011862176.1		PF00403
precorrin-4 C(11)-methyltransferase	methylation // cobalamin biosynthetic process		precorrin-4 C11-methyltransferase activity // transferase activity // methyltransferase activity	cobM	"cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)"	WP_011862482.1	WP_011862482.1		PF00590
SpoIID/LytB domain-containing protein	sporulation resulting in formation of a cellular spore			P9301_RS17895		WP_011863756.1	WP_011863756.1		PF08486
ferredoxin&mdash;NADP<small><sup>+</sup></small> reductase				petH	oxygenic photosynthesis // photosynthesis light reactions	WP_041484700.1	WP_041484700.1		PF00970
carboxypeptidase M32	proteolysis		metal ion binding // hydrolase activity // metallopeptidase activity // peptidase activity // metallocarboxypeptidase activity // carboxypeptidase activity	P9301_RS11620		WP_011862513.1	WP_011862513.1		PF02074
HAD-IA family hydrolase			hydrolase activity	P9301_RS18220		WP_052292850.1	WP_052292850.1		PF13419
SMC-Scp complex subunit ScpB				scpB		WP_080513429.1	WP_080513429.1		PF04079
YjgP/YjgQ family permease		integral component of membrane // membrane		P9301_RS16585		WP_011863508.1	WP_011863508.1		PF03739
tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	tRNA processing // tRNA modification	cytoplasm	"4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding // methylthiotransferase activity // transferase activity // catalytic activity"	miaB		WP_011863421.1	WP_011863421.1		PF00919
FtsX-like permease family protein		integral component of membrane // membrane		P9301_RS12980		WP_011862788.1	WP_011862788.1		PF02687
peptide chain release factor 3	regulation of translational termination // translational termination // translation	cytoplasm	"translation release factor activity, codon specific // GTP binding // GTPase activity // nucleotide binding"	prfC		WP_011862704.1	WP_011862704.1		PF00009
3-hydroxyacyl-ACP dehydratase FabZ	lipid A biosynthetic process // fatty acid biosynthetic process // lipid metabolic process	cytoplasm	3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity // 3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity // hydro-lyase activity // lyase activity // 3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity // (3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity // 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity	fabZ	"gondoate biosynthesis (anaerobic) // <i>cis</i>-vaccenate biosynthesis // fatty acid elongation -- saturated // stearate biosynthesis II (bacteria and plants) // octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast) // palmitate biosynthesis II (bacteria and plant cytoplasm)"	WP_011863449.1	WP_011863449.1		PF07977
retinal pigment epithelial membrane protein			"dioxygenase activity // metal ion binding // oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen // oxidoreductase activity"	P9301_RS10580		WP_011862320.1	WP_011862320.1		PF03055
YkgJ family cysteine cluster protein				P9301_RS13965		WP_011862983.1	WP_011862983.1		PF03692
hypothetical protein				P9301_RS09585		WP_011862128.1	WP_011862128.1		
Holliday junction branch migration DNA helicase RuvB	DNA duplex unwinding // SOS response // cellular response to DNA damage stimulus // DNA recombination // DNA repair		hydrolase activity // four-way junction helicase activity // ATP binding // helicase activity // DNA helicase activity // DNA binding // nucleotide binding	ruvB		WP_011863715.1	WP_011863715.1		PF05496
3-dehydroquinate synthase	chorismate biosynthetic process // aromatic amino acid family biosynthetic process // cellular amino acid biosynthetic process	cytoplasm	"metal ion binding // carbon-oxygen lyase activity, acting on phosphates // lyase activity // 3-dehydroquinate synthase activity // nucleotide binding"	aroB	superpathway of L-tryptophan biosynthesis // superpathway of L-tyrosine biosynthesis // chorismate biosynthesis I // 3-dehydroquinate biosynthesis I	WP_011862723.1	WP_011862723.1		PF01761
DUF2834 domain-containing protein		integral component of membrane // membrane		P9301_RS14560		WP_011863104.1	WP_011863104.1		PF11196
NAD(P)H-quinone oxidoreductase chain 1	"photosynthesis, light reaction"	thylakoid membrane // integral component of membrane // membrane // thylakoid	"quinone binding // oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	ndhA		WP_011862205.1	WP_011862205.1		PF00146
GDT1 family protein		integral component of membrane // membrane		P9301_RS13975		WP_011862985.1	WP_011862985.1		PF01169
Holliday junction branch migration protein RuvA	DNA duplex unwinding // SOS response // cellular response to DNA damage stimulus // DNA recombination // DNA repair		hydrolase activity // four-way junction helicase activity // ATP binding // helicase activity // DNA helicase activity // DNA binding // nucleotide binding	ruvA		WP_011862887.1	WP_011862887.1		PF01330
dolichyl-phosphate-mannose--protein mannosyltransferase		integral component of membrane // membrane		P9301_RS15870		WP_011863364.1	WP_011863364.1		PF13231
aminotransferase class V-fold PLP-dependent enzyme			lyase activity // catalytic activity	P9301_RS11200		WP_011862437.1	WP_011862437.1		PF00266
DEAD/DEAH box helicase			ATP binding // helicase activity // nucleic acid binding	P9301_RS16900		WP_011863577.1	WP_011863577.1		PF00270
glycogen/starch/alpha-glucan family phosphorylase	carbohydrate metabolic process		"SHG alpha-glucan phosphorylase activity // linear malto-oligosaccharide phosphorylase activity // pyridoxal phosphate binding // transferase activity, transferring glycosyl groups // transferase activity // glycogen phosphorylase activity // 1,4-alpha-oligoglucan phosphorylase activity"	glgP	glycogen degradation II	WP_144038823.1	WP_144038823.1		PF00343
Dna2/Cas4 domain-containing protein				P9301_RS09305		WP_011862068.1	WP_011862068.1		PF12705
hypothetical protein				P9301_RS11030		WP_011862406.1	WP_011862406.1		
HU family DNA-binding protein	chromosome condensation		DNA binding	P9301_RS16255		WP_002806330.1	WP_002806330.1		PF00216
Possible Pollen allergen		integral component of membrane // membrane		P9301_RS10725		WP_011862346.1	WP_011862346.1		
high light inducible protein		integral component of membrane // membrane		P9301_RS14935		WP_011132751.1	WP_011132751.1		
translesion error-prone DNA polymerase V autoproteolytic subunit	"SOS response // cellular response to DNA damage stimulus // regulation of transcription, DNA-templated // DNA repair"		hydrolase activity // DNA binding	umuD		WP_011862893.1	WP_011862893.1		PF00717
rod shape-determining protein		integral component of membrane // membrane		mreB		WP_011377257.1	WP_011377257.1		PF06723
bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU	cell wall organization // peptidoglycan biosynthetic process // lipid A biosynthetic process // lipopolysaccharide biosynthetic process // regulation of cell shape // metabolic process // UDP-N-acetylglucosamine biosynthetic process // cell morphogenesis	cytoplasm	"metal ion binding // glucosamine-1-phosphate N-acetyltransferase activity // nucleotidyltransferase activity // transferase activity, transferring acyl groups // transferase activity // UDP-N-acetylglucosamine diphosphorylase activity // catalytic activity // magnesium ion binding"	glmU	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I	WP_011862627.1	WP_011862627.1		PF12804
Glucosylglycerol-phosphate phosphatase (Salt tolerance protein A)				ggpP	glucosylglycerol biosynthesis	WP_011862655.1	WP_011862655.1		PF09506
DUF2237 domain-containing protein				P9301_RS13820		WP_011862954.1	WP_011862954.1		PF09996
2Fe-2S iron-sulfur cluster binding domain-containing protein	electron transport chain		"2 iron, 2 sulfur cluster binding // iron-sulfur cluster binding // electron transfer activity"	P9301_RS15470		WP_011863287.1	WP_011863287.1		PF00111
prolipoprotein diacylglyceryl transferase	lipoprotein biosynthetic process	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	transferase activity // phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity	P9301_RS11440	lipoprotein posttranslational modification	WP_011862483.1	WP_011862483.1		PF01790
sulfate permease				sulP2		WP_011862660.1	WP_011862660.1		PF00916
flavodoxin FldA	electron transport chain		FMN binding // electron transfer activity	fldA		WP_011863306.1	WP_011863306.1		PF00258
"bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase RibB/GTP cyclohydrolase II RibA"	riboflavin biosynthetic process // metabolic process		"metal ion binding // manganese ion binding // lyase activity // hydrolase activity // 3,4-dihydroxy-2-butanone-4-phosphate synthase activity // zinc ion binding // GTP binding // GTP cyclohydrolase II activity // catalytic activity // magnesium ion binding // nucleotide binding"	ribA	flavin biosynthesis I (bacteria and plants)	WP_011862937.1	WP_011862937.1		PF00926
TldD/PmbA family protein	proteolysis		metallopeptidase activity	P9301_RS14005		WP_011862991.1	WP_011862991.1		PF01523
Predicted GTPase	tRNA processing // tRNA modification	cytoplasm	metal ion binding // hydrolase activity // GTP binding // GTPase activity // nucleotide binding	thdF		WP_011862234.1	WP_011862234.1		PF10396
Possible Beta-lactamase		integral component of membrane // membrane		P9301_RS16245		WP_011863434.1	WP_011863434.1		
"Ribulose 1,5-bisphosphate carboxylase large subunit"	reductive pentose-phosphate cycle // photosynthesis // carbon fixation // photorespiration		metal ion binding // ribulose-bisphosphate carboxylase activity // lyase activity // oxidoreductase activity // monooxygenase activity // magnesium ion binding	rbcL		WP_011862567.1	WP_011862567.1		PF02788
DNA polymerase III delta subunit				holA		WP_011863744.1	WP_011863744.1		PF06144
urease accessory protein UreG	nitrogen compound metabolic process	cytoplasm	nickel cation binding // GTP binding // GTPase activity // nucleotide binding	ureG		WP_011862859.1	WP_011862859.1		PF02492
DUF1830 domain-containing protein				P9301_RS13395		WP_011862870.1	WP_011862870.1		PF08865
aminoacyl-tRNA hydrolase	translation	cytoplasm	hydrolase activity // aminoacyl-tRNA hydrolase activity	P9301_RS10425		WP_011862294.1	WP_011862294.1		PF01195
homoserine dehydrogenase	isoleucine biosynthetic process // threonine biosynthetic process // methionine biosynthetic process // branched-chain amino acid biosynthetic process // cellular amino acid biosynthetic process // cellular amino acid metabolic process		NADP binding // oxidoreductase activity // homoserine dehydrogenase activity	thrA	superpathway of L-homoserine and L-methionine biosynthesis // L-homoserine biosynthesis	WP_011863110.1	WP_011863110.1		PF03447
DNA-3-methyladenine glycosylase	cellular response to DNA damage stimulus // base-excision repair // DNA repair		hydrolase activity // alkylbase DNA N-glycosylase activity // catalytic activity // DNA binding	P9301_RS10335		WP_071813371.1	WP_071813371.1		PF02245
GUN4 domain-containing protein				P9301_RS13570		WP_011862906.1	WP_011862906.1		PF05419
30S ribosomal protein S13	translation	ribosome	rRNA binding // structural constituent of ribosome // RNA binding // nucleic acid binding // tRNA binding	rpsM		WP_002807728.1	WP_002807728.1		PF00416
aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	biosynthetic process		"pyridoxal phosphate binding // transferase activity, transferring acyl groups // transferase activity // 8-amino-7-oxononanoate synthase activity // catalytic activity"	P9301_RS16905		WP_011863578.1	WP_011863578.1		PF00155
hypothetical protein		integral component of membrane // membrane		P9301_RS09310		WP_011862069.1	WP_011862069.1		
hypothetical protein		integral component of membrane // membrane		P9301_RS14365		WP_011863065.1	WP_011863065.1		
Nit6803 family nitriliase	nitrogen compound metabolic process		aliphatic nitrilase activity // hydrolase activity // nitrilase activity	P9301_RS15280		WP_011863252.1	WP_011863252.1		PF00795
hypothetical protein				P9301_RS09735		WP_011862160.1	WP_011862160.1		
3-phosphoshikimate 1-carboxyvinyltransferase	chorismate biosynthetic process // aromatic amino acid family biosynthetic process // cellular amino acid biosynthetic process	cytoplasm	"transferase activity, transferring alkyl or aryl (other than methyl) groups // transferase activity // 3-phosphoshikimate 1-carboxyvinyltransferase activity // catalytic activity"	aroA	superpathway of L-tryptophan biosynthesis // superpathway of L-tyrosine biosynthesis // chorismate biosynthesis I // chorismate biosynthesis from 3-dehydroquinate	WP_011862629.1	WP_011862629.1		PF00275
plastocyanin	electron transport chain		electron transfer activity // copper ion binding	petE		WP_011862597.1	WP_011862597.1		PF00127
NAD(P)/FAD-dependent oxidoreductase				P9301_RS14215		WP_011863035.1	WP_011863035.1		PF13450
glycosyltransferase family 4 protein			transferase activity	P9301_RS11115		WP_011862422.1	WP_011862422.1		PF13439
SufS family cysteine desulfurase	cysteine metabolic process		cysteine desulfurase activity // pyridoxal phosphate binding // lyase activity // transferase activity // catalytic activity	sufS	superpathway of thiamine diphosphate biosynthesis II // thiazole component of thiamine diphosphate biosynthesis II // tRNA-uridine 2-thiolation and selenation (bacteria) // L-alanine biosynthesis III	WP_011862109.1	WP_011862109.1		PF00266
acetyl-CoA carboxylase carboxyltransferase subunit beta	malonyl-CoA biosynthetic process // fatty acid biosynthetic process // fatty acid metabolic process // lipid metabolic process	acetyl-CoA carboxylase complex // cytoplasm	metal ion binding // carboxyl- or carbamoyltransferase activity // transferase activity // zinc ion binding // ATP binding // acetyl-CoA carboxylase activity // nucleotide binding	accD		WP_011862820.1	WP_011862820.1		PF17848
inorganic diphosphatase	phosphate-containing compound metabolic process	cytoplasm	hydrolase activity // inorganic diphosphatase activity // magnesium ion binding	P9301_RS11625		WP_011862514.1	WP_011862514.1		PF00719
apocytochrome f	electron transport chain // photosynthesis	thylakoid membrane // integral component of thylakoid membrane // integral component of membrane // membrane // thylakoid	metal ion binding // heme binding // electron transfer activity // iron ion binding	P9301_RS11445		WP_011862484.1	WP_011862484.1		PF16639
Phenylalanyl-tRNA synthetase alpha subunit	tRNA aminoacylation // phenylalanyl-tRNA aminoacylation // translation	cytoplasm	metal ion binding // ligase activity // ATP binding // phenylalanine-tRNA ligase activity // aminoacyl-tRNA ligase activity // magnesium ion binding // nucleotide binding // tRNA binding	pheS		WP_011863387.1	WP_011863387.1		PF02912
"2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase"			metal ion binding // lyase activity // 2-dehydro-3-deoxyglucarate aldolase activity // catalytic activity	P9301_RS15715		WP_011863334.1	WP_011863334.1		PF03328
Carbon storage regulator-like protein				P9301_RS16595		WP_011863512.1	WP_011863512.1		
photosystem I assembly protein Ycf3	photosynthesis	thylakoid membrane // membrane // thylakoid		ycf3		WP_011862177.1	WP_011862177.1		PF13176
ligase-associated DNA damage response exonuclease	nucleic acid phosphodiester bond hydrolysis		exonuclease activity	P9301_RS12865		WP_011862764.1	WP_011862764.1		PF07521
restriction endonuclease	nucleic acid phosphodiester bond hydrolysis // DNA restriction-modification system		endonuclease activity // nuclease activity // DNA binding // nucleic acid binding	P9301_RS14375		WP_011863066.1	WP_011863066.1		PF04471
ABC transporter ATP-binding protein	transmembrane transport	integral component of membrane // membrane	ATPase-coupled transmembrane transporter activity // ATPase // ATP binding // nucleotide binding	P9301_RS11955		WP_011862577.1	WP_011862577.1		PF00664
Tryptophan synthase alpha chain	aromatic amino acid family biosynthetic process // cellular amino acid biosynthetic process // tryptophan metabolic process // tryptophan biosynthetic process		lyase activity // tryptophan synthase activity // catalytic activity	trpA		WP_011862588.1	WP_011862588.1		PF00290
imidazoleglycerol-phosphate dehydratase HisB	cellular amino acid biosynthetic process // histidine biosynthetic process	cytoplasm	lyase activity // imidazoleglycerol-phosphate dehydratase activity	hisB	L-histidine biosynthesis	WP_011862321.1	WP_011862321.1		PF00475
TIGR02450 family Trp-rich protein				P9301_RS12745		WP_011862736.1	WP_011862736.1		PF09493
ABC-type phosphate/phosphonate transport system permease component				phnC		WP_041484677.1	WP_041484677.1		
shikimate dehydrogenase	shikimate metabolic process // chorismate biosynthetic process // aromatic amino acid family biosynthetic process // cellular amino acid biosynthetic process		NADP binding // oxidoreductase activity // shikimate 3-dehydrogenase (NADP+) activity	aroE	superpathway of L-tryptophan biosynthesis // superpathway of L-tyrosine biosynthesis // chorismate biosynthesis I // chorismate biosynthesis from 3-dehydroquinate	WP_011863800.1	WP_011863800.1		PF08501
ABC-F family ATP-binding cassette domain-containing protein			ATPase // ATP binding // nucleotide binding	P9301_RS09590		WP_011862130.1	WP_011862130.1		PF00005
hypothetical protein		integral component of membrane // membrane		P9301_RS14840		WP_011863158.1	WP_011863158.1		
hypothetical protein				P9301_RS16910		WP_011863579.1	WP_011863579.1		
DoxX family protein		integral component of membrane // membrane		P9301_RS16600		WP_011863513.1	WP_011863513.1		PF07681
hypothetical protein				P9301_RS14275		WP_011818521.1	WP_011818521.1		
excinuclease ABC subunit UvrC	nucleic acid phosphodiester bond hydrolysis // SOS response // cellular response to DNA damage stimulus // nucleotide-excision repair // DNA repair	excinuclease repair complex // cytoplasm	excinuclease ABC activity // nuclease activity // DNA binding	uvrC		WP_011862947.1	WP_011862947.1		PF01541
hypothetical protein				P9301_RS16235		WP_041484720.1	WP_041484720.1		
shikimate kinase	phosphorylation // chorismate biosynthetic process // aromatic amino acid family biosynthetic process // cellular amino acid biosynthetic process	cytoplasm	metal ion binding // transferase activity // kinase activity // ATP binding // shikimate kinase activity // magnesium ion binding // nucleotide binding	aroK	superpathway of L-tryptophan biosynthesis // superpathway of L-tyrosine biosynthesis // chorismate biosynthesis I // chorismate biosynthesis from 3-dehydroquinate	WP_011862150.1	WP_011862150.1		PF01202
methyltransferase domain-containing protein	methylation		transferase activity // methyltransferase activity	P9301_RS11205		WP_011862438.1	WP_011862438.1		PF13847
penicillin-binding protein 2	peptidoglycan biosynthetic process // proteolysis	membrane	serine-type D-Ala-D-Ala carboxypeptidase activity // penicillin binding	mrdA	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	WP_071813370.1	WP_071813370.1		PF03717
HAD family hydrolase				P9301_RS17380		WP_011863663.1	WP_011863663.1		PF13419
cytochrome b6-f complex iron-sulfur subunit	electron transport chain // photosynthesis	thylakoid membrane // integral component of membrane // membrane // thylakoid	"2 iron, 2 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding // electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity // oxidoreductase activity, acting on diphenols and related substances as donors // oxidoreductase activity // plastoquinol--plastocyanin reductase activity // ubiquinol-cytochrome-c reductase activity"	petC	oxygenic photosynthesis // photosynthesis light reactions	WP_011862485.1	WP_011862485.1		PF08802
phosphate ABC transporter substrate-binding protein PstS	phosphate ion transmembrane transport // phosphate ion transport	ATP-binding cassette (ABC) transporter complex	phosphate ion binding	pstS		WP_041484704.1	WP_041484704.1		PF12849
sugar kinase	phosphorylation // carbohydrate metabolic process		"phosphotransferase activity, alcohol group as acceptor // kinase activity"	P9301_RS10735		WP_011862347.1	WP_011862347.1		PF02782
transcription termination/antitermination protein NusG	"regulation of DNA-templated transcription, elongation // transcription antitermination // regulation of transcription, DNA-templated // DNA-templated transcription, elongation // DNA-templated transcription, termination"			nusG		WP_011862248.1	WP_011862248.1		PF02357
hypothetical protein				P9301_RS15400		WP_011863276.1	WP_011863276.1		
aldehyde dehydrogenase family protein	cellular aldehyde metabolic process		"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor // oxidoreductase activity"	P9301_RS10870		WP_011862365.1	WP_011862365.1		PF00171
hypothetical protein				P9301_RS14730		WP_011863136.1	WP_011863136.1		
S1 RNA-binding domain-containing protein		ribosome	nucleic acid binding	P9301_RS11800		WP_011862549.1	WP_011862549.1		PF00575
hypothetical protein				P9301_RS15205		WP_011818716.1	WP_011818716.1		
endonuclease III	nucleic acid phosphodiester bond hydrolysis // metabolic process // cellular response to DNA damage stimulus // base-excision repair // DNA repair		"class I DNA-(apurinic or apyrimidinic site) endonuclease activity // DNA N-glycosylase activity // lyase activity // hydrolase activity, acting on glycosyl bonds // hydrolase activity // endonuclease activity // DNA-(apurinic or apyrimidinic site) endonuclease activity // catalytic activity // DNA binding"	nth		WP_011862835.1	WP_011862835.1		PF00730
hypothetical protein				P9301_RS15565		WP_011863307.1	WP_011863307.1		PF13911
CP12 domain-containing protein				P9301_RS10265		WP_011817713.1	WP_011817713.1		PF02672
TVP38/TMEM64 family protein		integral component of membrane // membrane // plasma membrane		P9301_RS18000		WP_011863777.1	WP_011863777.1		PF09335
thiamine-phosphate kinase	phosphorylation // thiamine diphosphate biosynthetic process // thiamine biosynthetic process		metal ion binding // transferase activity // kinase activity // thiamine-phosphate kinase activity // ATP binding // magnesium ion binding // nucleotide binding	thiL	superpathway of thiamine diphosphate biosynthesis II // thiamine diphosphate biosynthesis I (E. coli) // thiamine diphosphate biosynthesis II (Bacillus)	WP_011862051.1	WP_011862051.1		PF00586
methyltransferase domain-containing protein	methylation		methyltransferase activity	P9301_RS16915		WP_011863580.1	WP_011863580.1		PF13489
hypothetical protein		integral component of membrane // membrane		P9301_RS12495		WP_011862683.1	WP_011862683.1		
